Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
28,30/09/2011,83.26,3.877,,,,,,129.6060667,13.503,False
28,07/10/2011,70.44,3.827,,,,,,129.6938,12.89,False
28,14/10/2011,67.31,3.805,,,,,,129.7706452,12.89,False
28,21/10/2011,73.05,3.842,,,,,,129.7821613,12.89,False
28,28/10/2011,67.41,3.727,,,,,,129.7936774,12.89,False
28,04/11/2011,59.77,3.828,,,,,,129.8051935,12.89,False
28,11/11/2011,48.76,3.824,22860.64,12223.82,343.77,20834.37,9895.33,129.8167097,12.89,False
28,18/11/2011,54.2,3.813,6772.46,1654.68,86.01,1068.35,9835.85,129.8268333,12.89,False
28,25/11/2011,53.25,3.622,2232.08,179.73,61319.72,513.76,1790.89,129.8364,12.89,True
28,02/12/2011,52.5,3.701,10392.61,75.0,2241.11,6243.02,19374.19,129.8459667,12.89,False
28,09/12/2011,42.17,3.644,6628.73,21.0,140.19,6168.78,14073.59,129.8555333,12.89,False
28,16/12/2011,43.29,3.6,2429.88,18.24,347.78,573.31,6432.36,129.8980645,12.89,False
28,23/12/2011,45.4,3.541,2135.31,1.53,752.34,499.0,5674.11,129.9845484,12.89,False
28,30/12/2011,44.64,3.428,5218.93,49826.06,155.37,1011.54,7761.98,130.0710323,12.89,True
28,06/01/2012,50.43,3.599,5155.86,19549.51,218.29,636.73,5218.5,130.1575161,12.187,False
28,13/01/2012,48.07,3.657,4649.73,1843.24,45.3,869.64,7935.42,130.244,12.187,False
28,20/01/2012,46.2,3.66,5177.01,1280.59,23.75,716.52,6009.03,130.2792258,12.187,False
28,27/01/2012,50.43,3.675,1657.67,887.0,30.97,222.42,4291.52,130.3144516,12.187,False
28,03/02/2012,50.58,3.702,44998.1,3682.17,182.6,39241.63,16008.79,130.3496774,12.187,False
28,10/02/2012,52.27,3.722,20097.48,2774.5,66.42,16822.46,8228.86,130.3849032,12.187,True
28,17/02/2012,51.8,3.781,20868.41,6880.29,7.84,7685.11,11114.94,130.4546207,12.187,False
